series,custom name,total count
Toyota/RAV4 Prime,Miles traveled,31141.590573442147
Kia/Niro,Miles traveled,30902.511991345582
Lexus/RX,Miles traveled,30560.210172422278
Mazda/CX-90,Miles traveled,29450.334416998783
Vauxhall-Opel/Astra,Miles traveled,29377.513147452606
Seat/Ibiza,Miles traveled,29127.22023966559
Kia/Sportage,Miles traveled,29099.72467393491
Ford/Transit Connect,Miles traveled,28771.150692061296
GMC/Sierra,Miles traveled,28243.202794028126
Lexus/NX,Miles traveled,27301.52318090201
Hyundai/Accent,Miles traveled,27012.37012467451
Chrysler/300,Miles traveled,26910.281808674874
Mazda/Mazda3,Miles traveled,26857.525317175332
Jeep/Cherokee,Miles traveled,26297.90352688636
GMC/Yukon,Miles traveled,26067.78154277348
Nissan/LEAF,Miles traveled,26041.63512124095
Toyota/Sienna,Miles traveled,25412.458923050555
Hyundai/Santa Fe Hybrid,Miles traveled,25320.261419818675
Chevrolet/Cruze,Miles traveled,25248.626593803063
Ford/Fusion Hybrid,Miles traveled,24896.532930219066
Peugeot/508,Miles traveled,24779.93941606649
Nissan/ARIYA,Miles traveled,24761.30436625581
Toyota/Hilux,Miles traveled,24755.18533462577
Kia/Cadenza,Miles traveled,24610.62215982926
Kia/Soul,Miles traveled,24446.26909652915
Nissan/NV200,Miles traveled,24355.734555194405
Mercedes-Benz/A-Class,Miles traveled,24304.6572454353
Mitsubishi/Outlander Sport,Miles traveled,24248.849086930546
Chrysler/200,Miles traveled,24245.134254867677
BMW/X1,Miles traveled,24142.644777590314
Jeep/Renegade,Miles traveled,24119.73603720025
BMW/i4,Miles traveled,24064.917837080746
Toyota/GR Supra,Miles traveled,24046.75161387318
Volvo/V90,Miles traveled,23906.270922353568
BMW/X3,Miles traveled,23827.91188051058
Volkswagen/e-Golf,Miles traveled,23580.697494485597
Renault/Megane,Miles traveled,23321.810402975585
Audi/A5,Miles traveled,23055.97924144233
Nissan/Titan,Miles traveled,22965.364214103185
Audi/Q3,Miles traveled,22822.80883220915
Land Rover/Range Rover Sport,Miles traveled,22633.14435632
MG/RX8,Miles traveled,22212.86024545018
Vauxhall-Opel/Corsa,Miles traveled,21939.023455349772
Dodge/Durango,Miles traveled,21674.858117168144
Dodge/Charger,Miles traveled,21383.376953254552
Chevrolet/Impala,Miles traveled,21358.04053517652
Suzuki/Swift,Miles traveled,20829.269468242324
Chery/Arrizo 8,Miles traveled,20806.69442057232
Mitsubishi/ASX,Miles traveled,20318.329454009374
Peugeot/208,Miles traveled,20096.875825466286
Ford/Transit,Miles traveled,20086.71290938842
Dacia/Duster,Miles traveled,19531.512039221303
FIAT/500X,Miles traveled,19444.795766381314
Toyota/bZ4X,Miles traveled,19431.485131628357
Kia/Ceed,Miles traveled,19313.689413164117
Honda/Passport,Miles traveled,19169.693215372645
Chevrolet/Tahoe,Miles traveled,19159.18271277527
Honda/Fit,Miles traveled,19086.778118121394
MG/MG5,Miles traveled,19041.68057759582
GMC/Canyon,Miles traveled,19029.211452581632
Vauxhall-Opel/Insignia,Miles traveled,18981.222251774852
Nissan/Pathfinder,Miles traveled,18917.32690706716
Volkswagen/T-Roc,Miles traveled,18667.281214717474
Lexus/LS,Miles traveled,18442.866235203834
Genesis/G80,Miles traveled,18377.175976914285
FREIGHTLINER/Cascadia,Miles traveled,18256.07136096091
Lexus/UX,Miles traveled,18090.5470176311
Mazda/CX-50,Miles traveled,17955.27403215977
Kia/Telluride,Miles traveled,17923.185559037775
Ford/Mondeo Turnier,Miles traveled,17905.13489208634
Mazda/CX-9,Miles traveled,17698.692963130365
Audi/A3,Miles traveled,17458.089165134887
Suzuki/Jimny,Miles traveled,17441.96794674292
Chevrolet/Equinox,Miles traveled,17415.97017338746
Jeep/Compass,Miles traveled,17164.92116549874
Audi/RS e-tron,Miles traveled,17042.734754056764
Porsche/911,Miles traveled,16792.174768032048
Audi/RS 3,Miles traveled,16683.87545682625
Chrysler/Pacifica,Miles traveled,16328.488162004402
Dodge/Dakota,Miles traveled,16292.891919429474
Chevrolet/Camaro,Miles traveled,16116.669318946368
Land Rover/Range Rover,Miles traveled,15956.430719157976
Audi/Q5,Miles traveled,15895.167424884823
Peugeot/3008,Miles traveled,15479.008539313427
BMW/i5,Miles traveled,15430.935432875138
Toyota/Corolla Cross,Miles traveled,14794.663721340798
Volvo/XC90,Miles traveled,14678.146347482376
Haval/Jolion,Miles traveled,14630.934299557948
Toyota/Sienna Hybrid,Miles traveled,14500.584157929337
Hyundai/Palisade,Miles traveled,14225.730415147753
Hyundai/Genesis,Miles traveled,14197.687985009678
Cupra/Born,Miles traveled,14137.319344050822
Genesis/GV80,Miles traveled,13879.18585637126
Hyundai/Ioniq Hybrid,Miles traveled,13689.757607940428
MINI/Countryman,Miles traveled,13546.946900261546
Toyota/Camry Hybrid,Miles traveled,13530.45706304093
BMW/iX3,Miles traveled,13440.340455040723
Honda/Ridgeline,Miles traveled,13429.165832185625
MG/ZS EV,Miles traveled,13237.842721232153
Toyota/Venza,Miles traveled,13035.142006043
INFINITI/G,Miles traveled,12876.48649089219
Chevrolet/Traverse,Miles traveled,12706.512921869746
BMW/X7,Miles traveled,12689.262026778546
Ford/S-Max,Miles traveled,12395.185947526366
Jaguar/I-PACE,Miles traveled,12370.014541278173
Volvo/C40,Miles traveled,12318.1867993832
Lincoln/Continental,Miles traveled,12311.807344018716
Hyundai/i30,Miles traveled,12193.213235405967
Audi/e-tron,Miles traveled,12124.73121826258
Toyota/Avalon,Miles traveled,12035.23767718128
GWM/Cannon,Miles traveled,11936.608196437935
Genesis/G70,Miles traveled,11636.65502129481
Peugeot/E-308,Miles traveled,11369.400719275916
BMW/iX,Miles traveled,11328.186019485787
Jetour/T2,Miles traveled,11231.211312716188
Genesis/GV70,Miles traveled,11188.125861301543
Audi/A3 e-tron,Miles traveled,11120.17592372125
Mercedes-Benz/G-Class,Miles traveled,10984.103551416589
Lexus/RZ,Miles traveled,10862.812906892688
Land Rover/LR4,Miles traveled,10840.790458088522
Lexus/LX,Miles traveled,10605.546104488943
Audi/S6,Miles traveled,10499.500412055984
Ford/C-Max Energi,Miles traveled,10476.490505829433
Audi/A7,Miles traveled,10441.974392722173
Lexus/GX,Miles traveled,10192.294615412678
Honda/Odyssey,Miles traveled,10050.442340286525
Polestar/3,Miles traveled,9987.436252153691
Changan/UNI-V,Miles traveled,9838.678101081816
Chevrolet/Silverado 2500,Miles traveled,9768.458833840748
Lexus/GS,Miles traveled,9701.205776705036
Hyundai/i20,Miles traveled,9695.746180025053
Toyota/Aygo,Miles traveled,9632.726575156548
Acura/MDX,Miles traveled,9424.23440116068
Ford/Everest,Miles traveled,9391.702307690828
Nissan/Maxima,Miles traveled,9352.868588911168
Cadillac/XT5,Miles traveled,9299.246893206762
Honda/Clarity,Miles traveled,9281.184386193296
BMW/1 Series,Miles traveled,9238.166055796473
Honda/Jazz,Miles traveled,9237.040972267818
Volvo/V70,Miles traveled,9083.121153814853
Volkswagen/ID.3,Miles traveled,9007.889144463868
Jeep/Patriot,Miles traveled,8914.415801496674
BYD/K9M,Miles traveled,8875.0695473316
Subaru/Legacy,Miles traveled,8874.427758119322
Subaru/BRZ,Miles traveled,8873.478775473759
Chrysler/Delta,Miles traveled,8795.506309894348
Jeep/Gladiator,Miles traveled,8736.524115166809
Changan/UNI-K,Miles traveled,8691.686692266068
Toyota/FJ Cruiser,Miles traveled,8621.849423255358
Toyota/Yaris iA,Miles traveled,8605.62440227944
Kia/Sedona,Miles traveled,8551.00558870157
Ford/Mondeo,Miles traveled,8512.216355673045
Nissan/Versa,Miles traveled,8503.326427599239
Great Wall Motor/HAVAL JOLION,Miles traveled,8474.046307842425
Honda/Accord Hybrid,Miles traveled,8453.8405244024
Kia/Seltos,Miles traveled,8382.575963025145
Toyota/C-HR,Miles traveled,8307.204400633724
Mazda/Mazdaspeed 6,Miles traveled,8169.551835165263
Kia/Niro EV,Miles traveled,8169.017091173019
Seat/Ateca,Miles traveled,8132.002553553395
Chevrolet/Trax,Miles traveled,8032.487671583275
Honda/HR-V,Miles traveled,7994.784694417631
Cupra/Leon,Miles traveled,7963.15984706903
Audi/Q7,Miles traveled,7919.982393419355
BMW/M3,Miles traveled,7901.983476121513
Volkswagen/CC,Miles traveled,7887.508010840375
Cadillac/Escalade,Miles traveled,7670.139735971919
Ford/Expedition,Miles traveled,7637.949259746425
BMW/4 Series Gran Coupe,Miles traveled,7621.142584770701
Kia/EV3,Miles traveled,7586.496569492147
Volkswagen/Taos,Miles traveled,7584.205182713814
McLaren/Artura,Miles traveled,7479.593668936806
Chevrolet/Volt,Miles traveled,7470.476833650281
Jaguar/F-PACE,Miles traveled,7425.42844032819
BMW/7 Series,Miles traveled,7422.750307618287
Ford/F-450,Miles traveled,7349.542315134869
Honda/Insight,Miles traveled,7301.690044100792
Mercedes-Benz/GLE-Class,Miles traveled,7270.013020544853
Nissan/Murano,Miles traveled,7217.337081348008
Lexus/CT,Miles traveled,7174.693742395583
Subaru/Ascent,Miles traveled,7018.867525114023
Cadillac/ATS,Miles traveled,6962.320764774951
Geely/Monjaro,Miles traveled,6871.514953579394
Buick/Lucerne,Miles traveled,6810.804328226655
Cadillac/CTS,Miles traveled,6699.486848756689
Subaru/Solterra,Miles traveled,6691.463444470055
Toyota/Corolla Hatchback,Miles traveled,6627.910608130533
Scion/tC,Miles traveled,6596.583668610323
INFINITI/Q50,Miles traveled,6579.905441710872
