series,custom name,total count
Land Rover/Devender,Miles traveled,1143.3773012496015
Mitsubishi/Triton,Miles traveled,1128.9669033097573
Hundai/2025,Miles traveled,1110.2684405776063
Renault/Talisman,Miles traveled,1108.7521610035208
Audi/RS 5,Miles traveled,1106.7163661142517
Toyota/Crown,Miles traveled,1085.566091769966
Mazda/Mazda6,Miles traveled,1085.1508531340003
OPEL/Insignia,Miles traveled,1077.9752406173259
Nissan/370Z NISMO,Miles traveled,1073.9512579077427
Volkswagen/GOLF R,Miles traveled,1071.8498146883323
Dacia/Dokker,Miles traveled,1067.9282284026222
Mercedes-Benz/CLK 280,Miles traveled,1063.403974326666
Chevrolet/Spark,Miles traveled,1060.6195472282548
Saab/9-3,Miles traveled,1059.4974528468722
Seat/Leon ST,Miles traveled,1049.046695523808
Buick/LaCrosse,Miles traveled,1047.9273712452668
Mercedes-Benz/E55 AMG,Miles traveled,1032.283976237218
Toyota/GR Yaris,Miles traveled,1026.314764616121
Peugeot/308,Miles traveled,1018.6358588943785
Mitsubishi/Xpander,Miles traveled,1016.0390159886591
Kia/Seltos,Miles traveled,1015.3793805782767
CHERY/ARRIZO 8,Miles traveled,972.5654978234853
Kia/K7,Miles traveled,945.1422768796396
Mercedes-Benz/EQC 400,Miles traveled,941.0743075390154
Chevrolet/Aveo,Miles traveled,939.7379762709508
Volvo/S90,Miles traveled,930.8807045467029
GAC/EMZOOM,Miles traveled,930.3790745447346
Volkswagen/Golf Mk4,Miles traveled,923.5240086118605
Mercedes-Benz/Sedan,Miles traveled,919.2623358808049
GAC Ambao/athlete,Miles traveled,913.6592027437872
Audi/Q3,Miles traveled,910.3188068716898
MG/GT,Miles traveled,899.1797508898283
Toyota/Corolla touring sport,Miles traveled,897.490478470389
BMW/530i E39,Miles traveled,897.4089610007763
Geely/preface,Miles traveled,879.3714947228241
Lexus/LS,Miles traveled,860.0315513222603
Chery/Arrizo 6 Pro,Miles traveled,854.3966650360684
Changan/Eado plus,Miles traveled,853.1524658523394
Audi/A6 C4,Miles traveled,848.5948656675982
Alfa Romeo/Giulia,Miles traveled,835.0305888725478
BMW/340i,Miles traveled,834.60290285588
Kia/K4,Miles traveled,829.0811317014109
BMW/M2,Miles traveled,786.1746332424185
Mitsubishi/Outlander PHEV,Miles traveled,784.4996349856049
Audi/S8,Miles traveled,783.5847634978265
BMW/X4,Miles traveled,776.195070790096
Cadillac/CTS,Miles traveled,772.8152477077736
Lexus/ES 250,Miles traveled,771.7556473476625
Renault/Kadjarr,Miles traveled,766.2724098105754
FIAT/Panda,Miles traveled,763.4681524679003
Lexus/RX 450h,Miles traveled,757.2111737379902
Mercedes-Benz/C 220,Miles traveled,756.7584355112311
BMW/X5 eDrive,Miles traveled,751.9048162678057
BMW/X5 45edrive,Miles traveled,740.8260551744078
Lexus/IS 300h,Miles traveled,736.0363598580014
Acura/TL,Miles traveled,733.534465121435
Kia/Rio 3,Miles traveled,728.3339355574188
AGM/GMX 450,Miles traveled,720.6773337789083
Honda/Passport,Miles traveled,702.1289437853535
Genesis/GV70,Miles traveled,696.8546191274886
Lexus/UX 250h,Miles traveled,695.4911832805218
Haval/H9,Miles traveled,668.6924174561957
Mazda/B-Series Pickup,Miles traveled,668.1312271581468
Toyota/Camry Solara,Miles traveled,663.9652050181437
BMW/335d Xdrive,Miles traveled,662.2096099685576
Chevrolet/2019,Miles traveled,661.1606717836955
Nissan/350Z,Miles traveled,659.1542585511844
Hyundai/Ioniq Electric,Miles traveled,655.3128721601698
Mercedes-Benz/GLB 220,Miles traveled,655.0401078857485
Jeep/Wrangler Rubicon jl 4xe,Miles traveled,652.0960051961944
Audi/S5,Miles traveled,650.465732126095
Mazda/Mazda 6,Miles traveled,646.28472885879
Toyota/Veloz,Miles traveled,631.1312026370384
Lexus/RX 350h,Miles traveled,630.8145265458281
Kia/K3,Miles traveled,620.5421206821603
Chevrolet/Equinox EV,Miles traveled,608.047611463958
Ford/Puma,Miles traveled,600.870416662709
Lincoln/MKZ,Miles traveled,596.3747697599727
Hyundai/Ioniq Plug-In Hybrid,Miles traveled,595.7300362626339
Mitsubishi/Lancer,Miles traveled,594.2813733206905
BMW/G20,Miles traveled,593.607358315673
Chevrolet/Sonic,Miles traveled,584.8082459055113
Honda/Pliot,Miles traveled,584.116214198373
Pontiac/Safari,Miles traveled,583.7139120316912
smart/1,Miles traveled,580.539186438934
BMW/530i,Miles traveled,578.90657380936
Dodge/Ram,Miles traveled,578.8005111759296
BMW/320i,Miles traveled,576.4714655666024
Acura/RDX,Miles traveled,570.3901543008695
Audi/Audi A5,Miles traveled,568.8901834172676
Kia/2023,Miles traveled,563.8192756353576
Toyota/iQ,Miles traveled,563.5635565308318
MG/MG3,Miles traveled,557.0951925906297
Ford/C-Max,Miles traveled,555.3669041081896
BMW/440i,Miles traveled,544.7583490202213
Jetour/X70 plus,Miles traveled,544.1758609754688
Nissan/Juke,Miles traveled,541.8813340821036
Audi/SQ6 e-tron,Miles traveled,535.7857978124455
Nissan/Patrol Platinum,Miles traveled,535.0654944230201
BMW/5,Miles traveled,532.6151704782394
Suzuki/Baleno,Miles traveled,527.914871885957
Mercedes-Benz/A-Class,Miles traveled,524.5737689751536
BYD/Yuan Pro,Miles traveled,512.2793724936797
Honda/ZR-V,Miles traveled,510.2630335688514
Lexus/LS 500,Miles traveled,509.0610135015209
Lexus/LBX,Miles traveled,506.9486594227566
Dodge/Daytona,Miles traveled,506.09024564951807
Lincoln/Continental,Miles traveled,504.9665445228329
FIAT/500e,Miles traveled,504.17642307499256
Toyota/Fortuner,Miles traveled,503.3730612589017
BMW/M5 CS,Miles traveled,502.79341609233256
Mercedes-Benz/C 200,Miles traveled,502.7502709455255
