series,custom name,total count
Hyundai/Ioniq Hybrid,Miles traveled,12461.606112161586
Seat/Ibiza,Miles traveled,12339.154135408104
Chrysler/300,Miles traveled,12319.226869538208
Seat/Leon,Miles traveled,12304.119497518857
Ford/Fusion Hybrid,Miles traveled,12297.614955267441
BMW/X7,Miles traveled,12156.56846887561
BMW/4 Series,Miles traveled,12074.321874667681
Hyundai/Kona,Miles traveled,12063.555179286002
Toyota/Yaris,Miles traveled,12030.29896950405
Toyota/Corolla Cross,Miles traveled,11866.333370266377
Jaguar/I-PACE,Miles traveled,11806.917629433276
Hyundai/Veloster,Miles traveled,11673.188819102845
BMW/325xi,Miles traveled,11335.691439767565
Jeep/Wrangler 4xe,Miles traveled,11283.932399714799
Chevrolet/Camaro,Miles traveled,11094.509119403352
Ford/Maverick,Miles traveled,11064.164987836868
Chrysler/Pacifica,Miles traveled,11014.995951408508
Mitsubishi/Outlander Sport,Miles traveled,10979.939129237597
Land Rover/Range Rover Sport,Miles traveled,10754.180370308051
Chevrolet/Colorado,Miles traveled,10621.558338718241
Toyota/bZ4X,Miles traveled,10517.192077038195
Chevrolet/Tahoe,Miles traveled,10363.31392534281
GMC/Canyon,Miles traveled,10317.628863473265
Audi/RS 3,Miles traveled,10272.027215658167
Subaru/Outback,Miles traveled,10229.482100118365
Hyundai/i30,Miles traveled,10205.873951193318
Volkswagen/e-Golf,Miles traveled,10140.228089993823
Hyundai/Azera,Miles traveled,10112.521334742267
Genesis/G70,Miles traveled,10082.16015077289
Hyundai/Santa Fe Hybrid,Miles traveled,10081.5809665538
Mazda/CX-90,Miles traveled,9978.304281694705
Porsche/Macan,Miles traveled,9957.209296379195
Ford/F-250,Miles traveled,9945.012115307105
Dodge/Charger,Miles traveled,9925.026374488487
BMW/iX3,Miles traveled,9875.893658575485
Kia/Cadenza,Miles traveled,9776.815938791558
Dodge/Ram 1500,Miles traveled,9730.050275496918
Toyota/Aygo,Miles traveled,9579.780853819031
Audi/Q5,Miles traveled,9493.223099865143
Chevrolet/Cruze,Miles traveled,9317.24670835398
Subaru/XV Crosstrek,Miles traveled,9243.684078918839
Jeep/Grand Cherokee L,Miles traveled,9165.955478520176
Toyota/Hilux,Miles traveled,9106.851934812892
Jeep/Cherokee,Miles traveled,8842.841843102908
Mitsubishi/ASX,Miles traveled,8800.75041675331
Toyota/GR Corolla,Miles traveled,8717.099480557286
Vauxhall-Opel/Insignia,Miles traveled,8709.873117938994
Toyota/Highlander,Miles traveled,8701.376994829388
Audi/A5,Miles traveled,8667.179975987714
Volkswagen/Jetta GLI,Miles traveled,8601.128395344196
Vauxhall-Opel/Astra,Miles traveled,8500.702690600338
Kia/Ceed,Miles traveled,8413.466617369071
Dodge/Dakota,Miles traveled,8401.599288516569
Ford/Bronco Sport,Miles traveled,8230.90851622874
Hyundai/Palisade,Miles traveled,8181.080128338705
BMW/X3,Miles traveled,8027.46667079082
Hyundai/Accent,Miles traveled,8025.299058621816
Nissan/NV200,Miles traveled,7932.625600177113
Toyota/Grand Highlander,Miles traveled,7901.6034135349855
Audi/A3,Miles traveled,7821.413950727642
Honda/Accord Hybrid,Miles traveled,7797.9744690571815
Peugeot/508,Miles traveled,7552.227339657881
Audi/RS e-tron,Miles traveled,7544.220131739885
Mercedes-Benz/G-Class,Miles traveled,7143.827099766799
Chevrolet/Volt,Miles traveled,7130.710004520255
FIAT/500X,Miles traveled,7094.261010350465
Chrysler/Delta,Miles traveled,7051.69387151726
Jeep/Patriot,Miles traveled,6932.221319135349
Hyundai/Genesis,Miles traveled,6859.0106682509
