series,custom name,total count
Honda/Odyssey,# of stigs,26
Honda/Ridgeline,# of stigs,26
Mercedes-Benz/S-Class,# of stigs,26
Ford/Kuga,# of stigs,26
Volkswagen/T-Roc,# of stigs,26
Audi/A1,# of stigs,26
Jetour/T2,# of stigs,26
Toyota/Hilux,# of stigs,25
Toyota/Prius Prime,# of stigs,25
Dodge/Durango,# of stigs,25
Land Rover/Range Rover Sport,# of stigs,25
Nissan/X-Trail,# of stigs,25
Mazda/Mazdaspeed 6,# of stigs,25
Acura/RDX,# of stigs,24
Porsche/911,# of stigs,24
GMC/Terrain,# of stigs,24
Suzuki/Jimny,# of stigs,24
Jeep/Gladiator,# of stigs,24
Chevrolet/Traverse,# of stigs,24
Alfa Romeo/Giulia,# of stigs,24
Cupra/Born,# of stigs,24
Mercedes-Benz/CLA-Class,# of stigs,24
Audi/Q7,# of stigs,23
BMW/7 Series,# of stigs,23
Chrysler/Pacifica,# of stigs,23
Genesis/G70,# of stigs,23
Toyota/bZ4X,# of stigs,23
Toyota/Corolla Cross,# of stigs,23
Hyundai/Palisade,# of stigs,22
Lexus/GX,# of stigs,22
Hyundai/Tucson Hybrid,# of stigs,22
BYD/Atto 3,# of stigs,22
Kia/Rio,# of stigs,22
Toyota/Sienna,# of stigs,22
Volvo/V60,# of stigs,22
Suzuki/Swift,# of stigs,22
Audi/S5,# of stigs,22
Nissan/ARIYA,# of stigs,22
Ford/F-350,# of stigs,22
Acura/MDX,# of stigs,21
Subaru/Ascent,# of stigs,21
Toyota/Grand Highlander,# of stigs,21
Chevrolet/Suburban,# of stigs,21
Kia/Niro EV,# of stigs,21
Ram/2500,# of stigs,21
Mercedes-Benz/GLC-Class,# of stigs,21
Audi/e-tron,# of stigs,21
Volkswagen/Taos,# of stigs,20
Nissan/Frontier,# of stigs,20
Genesis/G80,# of stigs,20
Chevrolet/Blazer,# of stigs,20
GMC/Canyon,# of stigs,20
Honda/Fit,# of stigs,20
Honda/Prologue,# of stigs,20
Ford/Puma,# of stigs,20
Chevrolet/Trailblazer,# of stigs,19
Audi/SQ5,# of stigs,19
Ford/Fusion Hybrid,# of stigs,19
Hyundai/Veloster,# of stigs,19
Subaru/BRZ,# of stigs,19
Dacia/Duster,# of stigs,19
Mazda/CX-90,# of stigs,19
Dacia/Sandero,# of stigs,19
Lexus/LS,# of stigs,18
Ford/Transit,# of stigs,18
Volvo/EX30,# of stigs,18
MG/ZS,# of stigs,18
Changan/Eado Plus,# of stigs,18
Mazda/Mazdaspeed 3,# of stigs,18
Changan/UNI-V,# of stigs,18
Toyota/Corolla Hatchback,# of stigs,17
Nissan/Pathfinder,# of stigs,17
Ford/Territory,# of stigs,17
Mazda/2,# of stigs,17
Cadillac/Escalade,# of stigs,17
Mazda/Mazda6,# of stigs,17
Porsche/Cayman,# of stigs,17
Toyota/Corolla Cross Hybrid,# of stigs,17
Kia/Cadenza,# of stigs,17
Subaru/Legacy,# of stigs,17
Genesis/GV70,# of stigs,17
Toyota/Crown,# of stigs,16
Lexus/LX,# of stigs,16
Volkswagen/Atlas Cross Sport,# of stigs,16
BMW/X4,# of stigs,16
Toyota/Yaris Cross,# of stigs,16
Lexus/GS,# of stigs,16
BMW/iX,# of stigs,16
Subaru/Solterra,# of stigs,16
INFINITI/Q50,# of stigs,16
Chevrolet/Volt,# of stigs,16
Volkswagen/T-Cross,# of stigs,16
Chevrolet/Silverado 2500,# of stigs,16
Cupra/Leon,# of stigs,15
Lincoln/Nautilus,# of stigs,15
Toyota/Fortuner,# of stigs,15
MG/ZS EV,# of stigs,15
Kia/Ceed,# of stigs,15
Hyundai/Santa Fe Hybrid,# of stigs,15
GMC/Sierra 2500HD,# of stigs,15
Toyota/GR86,# of stigs,14
Toyota/FJ Cruiser,# of stigs,14
Volkswagen/e-Golf,# of stigs,14
Nissan/Versa,# of stigs,14
Toyota/Venza Hybrid,# of stigs,14
Hyundai/Venue,# of stigs,14
BMW/X7,# of stigs,14
Kia/Cerato,# of stigs,14
Audi/S3,# of stigs,14
Seat/Arona,# of stigs,14
Renault/Zoe,# of stigs,14
Kia/EV3,# of stigs,13
GMC/Acadia,# of stigs,13
Volkswagen/Touareg,# of stigs,13
Honda/Insight,# of stigs,13
Chevrolet/Corvette,# of stigs,13
Toyota/Sequoia,# of stigs,13
Seat/Ateca,# of stigs,13
MG/HS,# of stigs,13
Mercedes-Benz/GLA-Class,# of stigs,13
Toyota/GR Supra,# of stigs,13
OPEL/Astra,# of stigs,13
Lexus/UX,# of stigs,13
Mercedes-Benz/GLE-Class,# of stigs,13
